Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
10 Comunidad Valenciana,Ambos sexos,2012,"18.074,33","-0,35"
10 Comunidad Valenciana,Ambos sexos,2011,"18.137,57","3,74"
10 Comunidad Valenciana,Ambos sexos,2010,"17.483,64","0,31"
10 Comunidad Valenciana,Ambos sexos,2009,"17.429,24","3,35"
10 Comunidad Valenciana,Ambos sexos,2008,"16.863,72",
10 Comunidad Valenciana,Mujeres,2022,"18.263,90","6,62"
10 Comunidad Valenciana,Mujeres,2021,"17.129,57","3,56"
10 Comunidad Valenciana,Mujeres,2020,"16.540,03","3,94"
10 Comunidad Valenciana,Mujeres,2019,"15.913,39","-2,28"
10 Comunidad Valenciana,Mujeres,2018,"16.283,93","4,03"
10 Comunidad Valenciana,Mujeres,2017,"15.653,28","1,52"
10 Comunidad Valenciana,Mujeres,2016,"15.418,32","0,88"
10 Comunidad Valenciana,Mujeres,2015,"15.283,90","-0,25"
10 Comunidad Valenciana,Mujeres,2014,"15.322,63","-0,12"
10 Comunidad Valenciana,Mujeres,2013,"15.340,30","-1,68"
10 Comunidad Valenciana,Mujeres,2012,"15.602,67","-1,58"
10 Comunidad Valenciana,Mujeres,2011,"15.853,69","3,66"
10 Comunidad Valenciana,Mujeres,2010,"15.293,73","1,94"
10 Comunidad Valenciana,Mujeres,2009,"15.001,98","2,06"
10 Comunidad Valenciana,Mujeres,2008,"14.699,57",
10 Comunidad Valenciana,Hombres,2022,"22.501,65","3,35"
10 Comunidad Valenciana,Hombres,2021,"21.773,13","3,99"
10 Comunidad Valenciana,Hombres,2020,"20.937,16","1,64"
10 Comunidad Valenciana,Hombres,2019,"20.600,02","0,09"
10 Comunidad Valenciana,Hombres,2018,"20.581,98","2,58"
10 Comunidad Valenciana,Hombres,2017,"20.063,80","2,23"
10 Comunidad Valenciana,Hombres,2016,"19.626,45","-1,77"
10 Comunidad Valenciana,Hombres,2015,"19.980,62","-0,47"
10 Comunidad Valenciana,Hombres,2014,"20.074,56","2,1"
10 Comunidad Valenciana,Hombres,2013,"19.661,29","-2,72"
10 Comunidad Valenciana,Hombres,2012,"20.211,14","0,83"
10 Comunidad Valenciana,Hombres,2011,"20.044,29","2,46"
10 Comunidad Valenciana,Hombres,2010,"19.562,83","2,82"
10 Comunidad Valenciana,Hombres,2009,"19.025,75","2,84"
10 Comunidad Valenciana,Hombres,2008,"18.500,25",
11 Extremadura,Ambos sexos,2022,"18.859,71","3,93"
11 Extremadura,Ambos sexos,2021,"18.146,41","3,74"
11 Extremadura,Ambos sexos,2020,"17.492,05","2,23"
11 Extremadura,Ambos sexos,2019,"17.110,33","-0,87"
11 Extremadura,Ambos sexos,2018,"17.259,71","0,54"
11 Extremadura,Ambos sexos,2017,"17.166,32","2,79"
11 Extremadura,Ambos sexos,2016,"16.700,25","-0,81"
11 Extremadura,Ambos sexos,2015,"16.836,63",3
11 Extremadura,Ambos sexos,2014,"16.345,61","-1,75"
11 Extremadura,Ambos sexos,2013,"16.635,96","-0,05"
11 Extremadura,Ambos sexos,2012,"16.644,58","-0,96"
11 Extremadura,Ambos sexos,2011,"16.805,45","4,24"
11 Extremadura,Ambos sexos,2010,"16.122,46","-1,09"
11 Extremadura,Ambos sexos,2009,"16.300,34","4,97"
11 Extremadura,Ambos sexos,2008,"15.528,87",
11 Extremadura,Mujeres,2022,"17.367,87","8,49"
11 Extremadura,Mujeres,2021,"16.008,34","3,54"
11 Extremadura,Mujeres,2020,"15.460,28","4,88"
11 Extremadura,Mujeres,2019,"14.741,57","-2,47"
11 Extremadura,Mujeres,2018,"15.114,77","0,77"
11 Extremadura,Mujeres,2017,"14.998,80","1,95"
11 Extremadura,Mujeres,2016,"14.711,69","0,75"
