ccaa;periodo;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;precio_alquiler_periodo_label;precio_alquiler;precio_venta_periodo_label;precio_venta;retrasos_pagos;salario_destinado
Comunidad Valenciana;2004;real;11,80;10,00;NA;NA;NA;NA;NA;NA;7,50;NA
Comunidad Valenciana;2005;real;9,10;6,90;NA;NA;NA;NA;NA;NA;10,30;NA
Comunidad Valenciana;2006;real;12,70;4,80;NA;NA;2006;9,08;NA;NA;9,30;NA
Comunidad Valenciana;2007;real;8,90;3,30;NA;NA;2007;8,06;NA;NA;7,20;NA
Comunidad Valenciana;2008;real;16,90;3,10;12,00;NA;2008;7,24;2008;1281,00;13,40;0,52
Comunidad Valenciana;2009;real;17,40;3,70;12,10;NA;2009;6,54;2009;1276,00;18,70;0,45
Comunidad Valenciana;2010;real;14,40;3,00;9,10;NA;2010;6,10;2010;2138,00;16,30;0,42
Comunidad Valenciana;2011;real;11,30;4,60;9,20;NA;2011;5,74;2011;2230,00;8,70;0,38
Comunidad Valenciana;2012;real;17,80;3,90;11,50;NA;2012;5,62;2012;1360,50;15,00;0,37
Comunidad Valenciana;2013;real;21,80;4,00;11,00;NA;2013;5,30;2013;1760,00;15,50;0,36
Comunidad Valenciana;2014;real;20,90;2,80;9,40;194,40;2014;5,18;2014;1015,00;19,50;0,35
Comunidad Valenciana;2015;real;19,20;4,60;11,50;201,40;2015;5,27;2015;1549,00;15,10;0,35
Comunidad Valenciana;2016;real;25,70;5,60;11,10;211,20;2016;5,66;2016;1677,00;12,80;0,38
Comunidad Valenciana;2017;real;12,20;4,70;11,20;206,30;2017;6,08;2017;1496,50;14,60;0,40
Comunidad Valenciana;2018;real;6,70;4,20;9,30;194,70;2018;6,71;2018;1645,50;7,60;0,43
Comunidad Valenciana;2019;real;6,70;4,00;7,00;194,50;2019;7,18;2019;1734,50;9,40;0,46
Comunidad Valenciana;2020;real;10,70;2,90;10,60;202,10;2020;7,60;2020;1686,50;14,40;0,48
Comunidad Valenciana;2021;proyeccion;NA;NA;NA;204,48;NA;NA;NA;NA;NA;NA
Comunidad Valenciana;2021;real;7,80;4,00;9,60;NA;2021;7,58;2021;1615,00;13,50;0,46
Comunidad Valenciana;2022;proyeccion;NA;NA;NA;203,85;NA;NA;NA;NA;NA;NA
Comunidad Valenciana;2022;real;8,40;3,80;7,40;NA;2022;8,33;2022;1671,50;12,20;0,48
Comunidad Valenciana;2023;proyeccion;NA;NA;NA;203,41;NA;NA;NA;NA;NA;NA
Comunidad Valenciana;2023;real;6,90;6,90;8,80;NA;2023;9,61;2023;1777,00;12,50;0,53
Comunidad Valenciana;2024;proyeccion;8,10;5,72;7,64;203,37;NA;NA;NA;NA;13,99;0,59
Comunidad Valenciana;2024;real;NA;NA;NA;NA;2024;10,97;2024;2003,00;NA;NA
Comunidad Valenciana;2025;proyeccion;8,59;5,86;8,07;203,71;NA;NA;NA;NA;12,05;0,63
Comunidad Valenciana;2025;real;NA;NA;NA;NA;2025;12,15;2025-07;2484,50;NA;NA
Comunidad Valenciana;2026;proyeccion;8,48;6,22;7,84;204,27;NA;NA;NA;NA;12,74;0,65
Comunidad Valenciana;2026;real;NA;NA;NA;NA;2026-03;12,92;NA;NA;NA;NA
Comunidad de Madrid;2004;real;9,60;17,00;NA;NA;NA;NA;NA;NA;8,80;NA
Comunidad de Madrid;2005;real;12,50;13,70;NA;NA;NA;NA;NA;NA;7,10;NA
Comunidad de Madrid;2006;real;10,20;9,90;NA;NA;NA;NA;NA;NA;4,00;NA
Comunidad de Madrid;2007;real;12,70;8,10;NA;NA;2007;11,36;2007;2326,00;6,10;NA
Comunidad de Madrid;2008;real;16,40;7,10;13,90;NA;2008;11,23;2008;2931,00;10,60;0,66
Comunidad de Madrid;2009;real;15,00;7,50;15,40;NA;2009;11,05;2009;2380,00;12,30;0,64
