ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,concepto,pct_pib_regional,importe_eur
cat,Cataluña,2019,240165818000.0,real,educacion,2.5795,6195003669.09
cat,Cataluña,2020,214857435000.0,real,educacion,3.0853,6628901871.22
cat,Cataluña,2021,234820402000.0,real,educacion,2.823,6628901871.22
cat,Cataluña,2022,258787407000.0,real,educacion,2.9707,7687714793.25
cat,Cataluña,2023,283274025000.0,real,educacion,2.8323,8023063295.99
cat,Cataluña,2024,302303884000.0,real,educacion,2.7751,8389127300.59
cat,Cataluña,2025,314476551469.5445,proyeccion,educacion,2.6676,8389127300.59
cat,Cataluña,2026,335602542224.5094,proyeccion,educacion,2.7622,9270136188.03
clm,Cast.-La Mancha,2015,37998035000.0,real,educacion,3.9891,1515797070.0
clm,Cast.-La Mancha,2016,39136242000.0,real,educacion,4.2157,1649848580.0
clm,Cast.-La Mancha,2017,40768959000.0,real,educacion,4.214,1718009180.0
clm,Cast.-La Mancha,2018,42290925000.0,real,educacion,4.2595,1801375270.0
clm,Cast.-La Mancha,2019,43393303000.0,real,educacion,4.1513,1801375270.0
clm,Cast.-La Mancha,2020,40254360000.0,real,educacion,4.8368,1947035400.0
clm,Cast.-La Mancha,2021,44123986000.0,real,educacion,5.0579,2231740420.0
clm,Cast.-La Mancha,2022,50032018000.0,real,educacion,4.7056,2354316640.0
clm,Cast.-La Mancha,2023,52544941000.0,real,educacion,4.615,2424973030.0
clm,Cast.-La Mancha,2024,55559897000.0,real,educacion,4.4524,2473722660.0
clm,Cast.-La Mancha,2025,57877789156.0775,proyeccion,educacion,4.3726,2530782640.0
clm,Cast.-La Mancha,2026,60528774710.7235,proyeccion,educacion,4.35,2633020170.0
cnt,Cantabria,2015,12443843000.0,real,educacion,4.1821,520417665.0
cnt,Cantabria,2016,12833899000.0,real,educacion,4.2562,546242340.0
cnt,Cantabria,2017,13318023000.0,real,educacion,4.2219,562272196.0
cnt,Cantabria,2018,13843935000.0,real,educacion,4.2458,587781378.0
cnt,Cantabria,2019,14274351000.0,real,educacion,4.2916,612600404.0
cnt,Cantabria,2020,12991241000.0,real,educacion,4.7662,619193625.0
cnt,Cantabria,2021,14206538000.0,real,educacion,4.6084,654698991.0
cnt,Cantabria,2022,15557155000.0,real,educacion,4.1093,639297501.0
cnt,Cantabria,2023,16740663000.0,real,educacion,4.1299,691376763.0
cnt,Cantabria,2024,17700122000.0,real,educacion,4.0895,723842463.0
cnt,Cantabria,2025,18399077585.3196,proyeccion,educacion,4.0579,746611006.0
cnt,Cantabria,2026,19638827481.9118,proyeccion,educacion,4.0389,793193442.0
cym,Cast. y León,2015,53183396000.0,real,educacion,3.3428,1777814120.0
cym,Cast. y León,2016,54630532000.0,real,educacion,3.349,1829589229.0
cym,Cast. y León,2017,55879293000.0,real,educacion,3.4012,1900565408.0
cym,Cast. y León,2018,58326859000.0,real,educacion,3.3502,1954038890.0
cym,Cast. y León,2019,59649198000.0,real,educacion,3.2759,1954038890.0
cym,Cast. y León,2020,54794589000.0,real,educacion,3.5661,1954038890.0
cym,Cast. y León,2021,59465900000.0,real,educacion,3.7815,2248721516.0
cym,Cast. y León,2022,65467208000.0,real,educacion,3.4349,2248721516.0
cym,Cast. y León,2023,69893920000.0,real,educacion,3.5507,2481746644.0
cym,Cast. y León,2024,73992645000.0,real,educacion,3.5554,2630711524.0
cym,Cast. y León,2025,77233592986.7985,proyeccion,educacion,3.4062,2630711524.0
cym,Cast. y León,2026,80786752445.5297,proyeccion,educacion,3.2564,2630711524.0
ext,Extremadura,2015,18494971000.0,real,educacion,5.5141,1019830034.0
ext,Extremadura,2016,19069471000.0,real,educacion,5.3289,1016192181.0
ext,Extremadura,2017,20169546000.0,real,educacion,5.0404,1016627283.0
ext,Extremadura,2018,20713254000.0,real,educacion,5.0273,1041322738.0
