comunidades_autónomas;periodo;género;trastornos
05 Canarias;2020;mujeres;31,034
05 Canarias;2020;total;24,975
05 Canarias;2021;hombres;20,145
05 Canarias;2021;mujeres;33,045
05 Canarias;2021;total;26,695
05 Canarias;2022;hombres;21,03778897
05 Canarias;2022;mujeres;34,68438694
05 Canarias;2022;total;27,97613027
05 Canarias;2023;hombres;22,32143276
05 Canarias;2023;mujeres;36,37687677
05 Canarias;2023;total;29,46730036
06 Cantabria;2013;hombres;5,945
06 Cantabria;2013;mujeres;12,909
06 Cantabria;2013;total;9,529
06 Cantabria;2014;hombres;6,403
06 Cantabria;2014;mujeres;13,673
06 Cantabria;2014;total;10,141
06 Cantabria;2015;hombres;6,729
06 Cantabria;2015;mujeres;14,269
06 Cantabria;2015;total;10,607
06 Cantabria;2016;hombres;6,82
06 Cantabria;2016;mujeres;14,496
06 Cantabria;2016;total;10,768
06 Cantabria;2017;hombres;7,102
06 Cantabria;2017;mujeres;14,888
06 Cantabria;2017;total;11,106
06 Cantabria;2018;hombres;7,375
06 Cantabria;2018;mujeres;15,286
06 Cantabria;2018;total;11,447
06 Cantabria;2019;hombres;7,788
06 Cantabria;2019;mujeres;16,28
06 Cantabria;2019;total;12,159
06 Cantabria;2020;hombres;8,297
06 Cantabria;2020;mujeres;16,993
06 Cantabria;2020;total;12,775
06 Cantabria;2021;hombres;8,746
06 Cantabria;2021;mujeres;17,792
06 Cantabria;2021;total;13,405
06 Cantabria;2022;hombres;9,101427738
06 Cantabria;2022;mujeres;18,55331448
06 Cantabria;2022;total;13,97311263
06 Cantabria;2023;hombres;9,613740803
06 Cantabria;2023;mujeres;19,43837542
06 Cantabria;2023;total;14,68132949
08 Castilla-La Mancha;2013;hombres;2,197
08 Castilla-La Mancha;2013;mujeres;4,261
08 Castilla-La Mancha;2013;total;3,233
08 Castilla-La Mancha;2014;hombres;3,634
08 Castilla-La Mancha;2014;mujeres;7,128
08 Castilla-La Mancha;2014;total;5,388
08 Castilla-La Mancha;2015;hombres;3,65
08 Castilla-La Mancha;2015;mujeres;7,18
08 Castilla-La Mancha;2015;total;5,422
08 Castilla-La Mancha;2016;hombres;3,739
08 Castilla-La Mancha;2016;mujeres;7,106
08 Castilla-La Mancha;2016;total;5,429
08 Castilla-La Mancha;2017;hombres;3,924
08 Castilla-La Mancha;2017;mujeres;7,425
08 Castilla-La Mancha;2017;total;5,68
08 Castilla-La Mancha;2018;hombres;3,834
08 Castilla-La Mancha;2018;mujeres;7,073
08 Castilla-La Mancha;2018;total;5,458
08 Castilla-La Mancha;2019;hombres;4,079
08 Castilla-La Mancha;2019;mujeres;7,367
08 Castilla-La Mancha;2019;total;5,727
08 Castilla-La Mancha;2020;hombres;3,71
08 Castilla-La Mancha;2020;mujeres;7,231
08 Castilla-La Mancha;2020;total;5,475
08 Castilla-La Mancha;2021;hombres;3,681
08 Castilla-La Mancha;2021;mujeres;8,529
08 Castilla-La Mancha;2021;total;6,109
08 Castilla-La Mancha;2022;hombres;4,106103058
08 Castilla-La Mancha;2022;mujeres;9,503349095
08 Castilla-La Mancha;2022;total;6,809684239
08 Castilla-La Mancha;2023;hombres;4,168668922
08 Castilla-La Mancha;2023;mujeres;9,280427774
08 Castilla-La Mancha;2023;total;6,731017027
07 Castilla y León;2013;hombres;7,883
07 Castilla y León;2013;mujeres;16,065
07 Castilla y León;2013;total;12,042
07 Castilla y León;2014;hombres;8,515
07 Castilla y León;2014;mujeres;16,939
07 Castilla y León;2014;total;12,796
07 Castilla y León;2015;hombres;8,949
07 Castilla y León;2015;mujeres;17,571
07 Castilla y León;2015;total;13,331
07 Castilla y León;2016;hombres;9,004
07 Castilla y León;2016;mujeres;17,482
