horas;grado I;grado II;grado III;total;servicio;fecha
De 66 a 70;2,59879119084037e-04;5,39541231264827e-04;5,26136041638704e-01;0,107949622289208083;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
71 o más;4,00956355158229e-04;1,39645965739132e-03;3,45845823453089e-02;0,007776937064473220;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
Menos de 5;5,04286434694907e-04;0,00000000000000e+00;8,49762066621346e-05;0,000283375314861461;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 5 a 10;1,99934739402569e-02;5,54292999279419e-05;0,00000000000000e+00;0,010626574307304786;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 11 a 15;9,32336626027113e-02;5,54292999279419e-04;2,54928619986404e-04;0,049685138539042821;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 16 a 20;7,36525169825873e-01;9,25669308796630e-03;8,49762066621346e-04;0,393671284634760699;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 21 a 30;1,34525822431847e-01;8,35873842913364e-02;5,35350101971448e-03;0,096127204030226704;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 31 a 45;1,77983447539379e-03;7,62042015409345e-01;1,30863358259687e-02;0,219804785894206572;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 46 a 55;2,66975171309068e-04;1,10692311956100e-01;4,22331747110809e-02;0,039404911838790933;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 56 a 65;3,55966895078758e-03;1,66287899783826e-03;1,88137321549966e-01;0,037216624685138540;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 66 a 70;0,00000000000000e+00;2,77146499639710e-04;6,13613188307274e-01;0,113759445843828716;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
71 o más;9,61110616712646e-03;3,18718474585666e-02;1,36386811692726e-01;0,039420654911838791;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
Menos de 5;2,54735467015023e-03;1,60318694131364e-03;9,64026586838500e-04;0,001880746370108398;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 5 a 10;3,55721156700908e-01;1,38804064182999e-02;5,06113958090213e-03;0,159214379532573197;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 11 a 15;9,67282227896206e-02;4,81580700682916e-02;1,29001978791415e-02;0,061957305013109011;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 16 a 20;4,67923519980999e-01;1,26034090278163e-02;2,27687858338830e-02;0,210597596937654286;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 21 a 30;6,96158185380916e-02;1,73775748153906e-01;1,30536810594145e-01;0,120239999591142080;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 31 a 45;3,33115610711953e-03;6,98982566209539e-01;2,33649601704805e-02;0,263503810044616593;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 46 a 55;5,22534291312867e-04;4,42646160679585e-02;1,10330305951596e-01;0,038749508092831189;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 56 a 65;1,03319280327772e-03;9,16106823607795e-04;1,05015475163631e-01;0,021937782048071470;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
De 66 a 70;2,07826138590345e-04;5,06634834267947e-04;5,39093815008372e-01;0,108878860513014458;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
71 o más;2,36921797992993e-03;5,30925545499972e-03;4,99644832310112e-02;0,013040011856879290;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-04-30
Menos de 5;3,07004272968126e-03;1,81536907242533e-03;1,03869895536562e-03;0,002172389415973130;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 5 a 10;4,38816852763407e-01;1,60620698364589e-02;6,20251661918329e-03;0,187851003213073159;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 11 a 15;9,72450794447355e-02;5,57712950685105e-02;1,50611348528015e-02;0,064498120397705028;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 16 a 20;4,01467126189088e-01;1,24076529645766e-02;2,64274691358025e-02;0,175226265280301940;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 21 a 30;5,41390227522638e-02;1,85917471743386e-01;1,53682929724596e-01;0,125149048366005128;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 31 a 45;3,65305565190439e-03;6,90448001515439e-01;2,47952279202279e-02;0,271982548067149887;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 46 a 55;5,75633011815237e-04;3,48945507356191e-02;1,21794871794872e-01;0,038553844006662806;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 56 a 65;3,91135251618045e-04;7,81397992043948e-04;9,15390550807217e-02;0,019178314941852175;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
De 66 a 70;2,58296864276068e-04;5,28824903706510e-04;5,25240384615385e-01;0,107706217706187365;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
71 o más;3,83755341210158e-04;1,37336616783482e-03;3,42177113010446e-02;0,007682248605089338;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-05-31
Menos de 5;5,54178212046084e-04;0,00000000000000e+00;0,00000000000000e+00;0,000294651303444319;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-05-31
De 5 a 10;2,02420883768412e-02;5,46448087431694e-05;8,40477391158178e-05;0,010793542484065569;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-05-31
