ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
País Vasco;2025-02-01;148;145
La Rioja;2025-02-01;33;27
Ceuta y Melilla;2025-02-01;222;43
Castilla y León;2025-02-01;NA;NA
Andalucía;2025-03-01;29158;28960
Aragón;2025-03-01;4710;574
Principado de Asturias;2025-03-01;7865;2942
Islas Baleares;2025-03-01;2824;1280
Canarias;2025-03-01;10991;6417
Cantabria;2025-03-01;312;113
Castilla y León;2025-03-01;2980;2
Castilla-La Mancha;2025-03-01;3545;540
Cataluña;2025-03-01;34496;7206
Comunidad Valenciana;2025-03-01;14874;9707
Extremadura;2025-03-01;2682;280
Galicia;2025-03-01;55;55
Comunidad de Madrid;2025-03-01;127;98
Región de Murcia;2025-03-01;7975;5635
Comunidad Foral de Navarra;2025-03-01;69;66
País Vasco;2025-03-01;148;145
La Rioja;2025-03-01;6;4
Ceuta y Melilla;2025-03-01;202;47
Castilla y León;2025-03-01;NA;NA
Andalucía;2025-04-01;28736;28488
Aragón;2025-04-01;4574;578
Principado de Asturias;2025-04-01;7803;2967
Islas Baleares;2025-04-01;3602;1443
Canarias;2025-04-01;9490;5484
Cantabria;2025-04-01;418;189
Castilla y León;2025-04-01;2896;0
Castilla-La Mancha;2025-04-01;3428;356
Cataluña;2025-04-01;36090;7910
Comunidad Valenciana;2025-04-01;20849;10541
Extremadura;2025-04-01;3181;353
Galicia;2025-04-01;62;62
Comunidad de Madrid;2025-04-01;266;235
Región de Murcia;2025-04-01;8444;6170
Comunidad Foral de Navarra;2025-04-01;70;68
País Vasco;2025-04-01;150;145
La Rioja;2025-04-01;8;4
Ceuta y Melilla;2025-04-01;173;45
Castilla y León;2025-04-01;NA;NA
Andalucía;2025-05-01;28608;28311
Aragón;2025-05-01;4695;535
Principado de Asturias;2025-05-01;7922;3185
Islas Baleares;2025-05-01;4523;1807
Canarias;2025-05-01;8323;4963
Cantabria;2025-05-01;427;256
Castilla y León;2025-05-01;2881;128
Castilla-La Mancha;2025-05-01;3258;420
Cataluña;2025-05-01;36586;7882
Comunidad Valenciana;2025-05-01;23541;12981
Extremadura;2025-05-01;3456;461
Galicia;2025-05-01;66;66
Comunidad de Madrid;2025-05-01;275;234
Región de Murcia;2025-05-01;9026;6296
Comunidad Foral de Navarra;2025-05-01;101;93
País Vasco;2025-05-01;148;143
La Rioja;2025-05-01;11;4
Ceuta y Melilla;2025-05-01;197;41
Castilla y León;2025-05-01;NA;NA
Andalucía;2025-06-01;29104;28871
Aragón;2025-06-01;4590;342
Principado de Asturias;2025-06-01;7926;3198
Islas Baleares;2025-06-01;3234;1269
Canarias;2025-06-01;6991;4525
Cantabria;2025-06-01;438;275
Castilla y León;2025-06-01;3018;397
Castilla-La Mancha;2025-06-01;3605;384
Cataluña;2025-06-01;37391;7774
Comunidad Valenciana;2025-06-01;26244;15483
Extremadura;2025-06-01;3135;419
Galicia;2025-06-01;79;78
Comunidad de Madrid;2025-06-01;270;226
Región de Murcia;2025-06-01;9559;6201
Comunidad Foral de Navarra;2025-06-01;98;93
País Vasco;2025-06-01;149;142
La Rioja;2025-06-01;10;5
Ceuta y Melilla;2025-06-01;168;34
Castilla y León;2025-06-01;NA;NA
Andalucía;2025-07-01;29934;28467
Aragón;2025-07-01;4729;262
Principado de Asturias;2025-07-01;7619;3695
Islas Baleares;2025-07-01;3198;1310
Canarias;2025-07-01;7338;4117
Cantabria;2025-07-01;480;278
Castilla y León;2025-07-01;2958;0
Castilla-La Mancha;2025-07-01;3732;288
Cataluña;2025-07-01;41037;8730
Comunidad Valenciana;2025-07-01;16060;8218
