ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Principado de Asturias;2025-03-01;310,94;8,48;342,09
Islas Baleares;2025-03-01;125,96;124,58;247,10
Canarias;2025-03-01;384,77;157,35;549,37
Cantabria;2025-03-01;162,11;49,52;207,17
Castilla y León;2025-03-01;111,70;0,06;115,39
Castilla-La Mancha;2025-03-01;115,77;62,54;181,43
Cataluña;2025-03-01;187,17;87,92;264,40
Comunidad Valenciana;2025-03-01;254,59;65,88;311,78
Extremadura;2025-03-01;129,50;142,24;272,64
Galicia;2025-03-01;248,64;136,69;392,96
Comunidad de Madrid;2025-03-01;205,45;67,36;320,26
Región de Murcia;2025-03-01;326,53;247,80;542,83
Comunidad Foral de Navarra;2025-03-01;135,58;69,70;204,03
País Vasco;2025-03-01;71,28;54,96;127,75
La Rioja;2025-03-01;58,90;176,63;224,42
Castilla y León;2025-03-01;NA;NA;NA
Andalucía;2025-04-01;474,68;150,01;584,28
Aragón;2025-04-01;136,86;33,10;175,41
Principado de Asturias;2025-04-01;310,30;6,56;339,14
Islas Baleares;2025-04-01;125,90;122,25;244,75
Canarias;2025-04-01;375,43;153,36;542,74
Cantabria;2025-04-01;160,78;48,63;206,60
Castilla y León;2025-04-01;111,02;0,04;114,86
Castilla-La Mancha;2025-04-01;114,73;61,61;179,54
Cataluña;2025-04-01;189,96;84,52;263,60
Comunidad Valenciana;2025-04-01;258,10;62,01;309,90
Extremadura;2025-04-01;129,37;138,55;269,05
Galicia;2025-04-01;247,25;149,45;409,05
Comunidad de Madrid;2025-04-01;208,16;66,76;324,95
Región de Murcia;2025-04-01;326,92;248,18;548,86
Comunidad Foral de Navarra;2025-04-01;134,12;64,81;198,15
País Vasco;2025-04-01;71,45;57,37;130,36
La Rioja;2025-04-01;59,98;177,68;225,67
Castilla y León;2025-04-01;NA;NA;NA
Andalucía;2025-05-01;480,70;133,37;579,26
Aragón;2025-05-01;135,22;28,50;167,07
Principado de Asturias;2025-05-01;310,08;5,21;336,91
Islas Baleares;2025-05-01;126,17;118,49;241,29
Canarias;2025-05-01;366,10;150,34;539,66
Cantabria;2025-05-01;161,07;50,95;208,29
Castilla y León;2025-05-01;109,37;0,03;113,22
Castilla-La Mancha;2025-05-01;110,98;61,42;178,73
Cataluña;2025-05-01;193,00;84,74;267,13
Comunidad Valenciana;2025-05-01;259,96;62,28;310,36
Extremadura;2025-05-01;130,92;133,97;264,12
Galicia;2025-05-01;207,59;157,21;387,09
