"ccaa","genero","variable","periodo","valor","li_95","ls_95","imputado"
"Islas Baleares","total","gasto_farmacia_pct",2024,12.4588324564918,11.6579392977155,12.9498292677048,TRUE
"La Rioja","total","gasto_farmacia_pct",2024,14.7594398720487,12.1806004159896,15.8100136132005,TRUE
"Media Estatal","total","gasto_farmacia_pct",2024,14.6597585351594,14.0114854419972,14.9694297095674,TRUE
"País Vasco","total","gasto_farmacia_pct",2024,10.7886817488067,10.5234844047641,11.2385533017015,TRUE
"Principado de Asturias","total","gasto_farmacia_pct",2024,15.5294798778149,14.6869232168635,16.447695884325,TRUE
"Región de Murcia","total","gasto_farmacia_pct",2024,14.3845306618114,13.6288307600029,15.4432302654263,TRUE
"Andalucía","hombres","avs_65",2025,16.8208617939263,16.4404747540334,17.7642573384648,TRUE
"Andalucía","mujeres","avs_65",2025,17.8027050328676,16.9193384513366,19.444573960953,TRUE
"Andalucía","total","avs_65",2025,17.2997340395967,16.5006627473597,18.1611514828207,TRUE
"Aragón","hombres","avs_65",2025,18.3698135206023,17.7351937277661,19.0452950373295,TRUE
"Aragón","mujeres","avs_65",2025,20.7954222803083,20.1206995765345,21.8094454844352,TRUE
"Aragón","total","avs_65",2025,19.7226465818972,19.138310673706,20.503486692924,TRUE
"Canarias","hombres","avs_65",2025,17.547463078506,16.6562138703315,18.1642545010728,TRUE
"Canarias","mujeres","avs_65",2025,18.4910302440435,17.1883897116754,18.9973319056422,TRUE
"Canarias","total","avs_65",2025,18.028211432729,17.4393293328856,18.5418847374396,TRUE
"Cantabria","hombres","avs_65",2025,17.5735063640194,16.868147562557,18.1528935047478,TRUE
"Cantabria","mujeres","avs_65",2025,20.1185266334706,19.3334552339168,20.754400544406,TRUE
"Cantabria","total","avs_65",2025,18.8150013584042,18.2406865591073,19.2716227648726,TRUE
"Castilla y León","hombres","avs_65",2025,17.9599383902948,17.6644788638601,19.3546268692468,TRUE
"Castilla y León","mujeres","avs_65",2025,21.3489312237243,20.0793510624639,21.6385805490116,TRUE
"Castilla y León","total","avs_65",2025,19.6962165069248,19.5590045834835,20.5750918340228,TRUE
"Castilla-La Mancha","hombres","avs_65",2025,18.0545994335944,17.5467770968363,19.6511167244011,TRUE
"Castilla-La Mancha","mujeres","avs_65",2025,21.6036430594194,20.5056245798638,22.3887350407999,TRUE
"Castilla-La Mancha","total","avs_65",2025,20.2360273970372,19.9966675708344,20.5910597046207,TRUE
"Cataluña","hombres","avs_65",2025,18.270493570276,17.7611335446004,19.5301960859793,TRUE
"Cataluña","mujeres","avs_65",2025,21.2481325963852,20.6996386022138,22.2684806240264,TRUE
"Cataluña","total","avs_65",2025,19.810123305394,19.337321604971,20.8522919343247,TRUE
"Ceuta","hombres","avs_65",2025,15.24648353915,14.3344951630554,16.2787178232696,TRUE
"Ceuta","mujeres","avs_65",2025,15.8576393076437,14.5816249088863,20.9414999326214,TRUE
"Ceuta","total","avs_65",2025,15.0850217848817,14.1740309150669,16.4160401168075,TRUE
"Comunidad Foral de Navarra","hombres","avs_65",2025,17.8905620881021,17.1831906164159,18.7344063208462,TRUE
